Plant,Date,Non- Compliance Group,Species,Type,Compliance Level,Non Compliance,Description,Action
[Plant Name & Number],09/06/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Broken leg,Unloading of animals took place out of OV working hours. FBO made video from CCTV cameras available for OV. An animal broke leg at time of unloading (09/06/2015 at 15:52:50) and has not been killed until next morning (AMI carried out o 10/6/15 at 10:30. LA and APHA notified (APHA to investigate as bones mineralization deficiency suspected).,APHA-Animal Health Office informed
[Plant Name & Number],09/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Overgrown hoof,One bovine animal with very long  hoof,TS-Trading Standards informed
[Plant Name & Number],09/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,pregnant cow processed on the abattoir,APHA-Animal Health Office informed
[Plant Name & Number],10/06/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,Calf near full term dam in gut room not able to be correlated with carcase,None Applicable
[Plant Name & Number],10/06/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,in calf beast [Number],TS-Trading Standards informed
[Plant Name & Number],10/06/2015,Lairage operation,Red Meat: Pigs,Procedures for protecting animal welfare,4,Injured animals not dealt with promptly,Animal with broken leg kept in lairage overnight.,ENF written advice
[Plant Name & Number],10/06/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,100% FPD SCORE 2 [Name],APHA-Animal Health Office informed
[Plant Name & Number],11/06/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,,TS-Trading Standards informed
[Plant Name & Number],11/06/2015,Welfare on transport,Red Meat: Pigs,Condition of vehicle,4,Other,1 pig hurt itself on a lorry at time of unloading. The animal hurt itself when chewing chain ended with a hook used to lock gate between pens on the lorry. LA notified. Agreed action: OV to inform TS Enforcement Officer when next batch of these pigs will be scheduled for intake and same lorry will be used for transporting them in order to enable the officer for inspection.,TS-Trading Standards informed
[Plant Name & Number],11/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,Last stage of pregnancy.,TS-Trading Standards informed
[Plant Name & Number],12/06/2015,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,slippery floor on the cattle lairage,ENF verbal advice
[Plant Name & Number],12/06/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Other,1 pregnant sheep processed on the abattoir,APHA-Animal Health Office informed
[Plant Name & Number],12/06/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Other,ewe heavily pregnant with two lambs at the latest stage of pregnancy.,APHA-Animal Health Office informed
[Plant Name & Number],15/06/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,,TS-Trading Standards informed
[Plant Name & Number],15/06/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Weak animals,Moribund animal laid on the vehicle.,None Applicable
[Plant Name & Number],15/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Not Applicable,,None Applicable
[Plant Name & Number],15/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Calf at full term not able to be traced to dam,None Applicable
[Plant Name & Number],16/06/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,in calf beast [Number],TS-Trading Standards informed
[Plant Name & Number],17/06/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,,TS-Trading Standards informed
[Plant Name & Number],17/06/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Other,Chronic lameness and sheep scab,APHA-Animal Health Office informed
[Plant Name & Number],18/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,suspect sheep scab and lameness,APHA-Animal Health Office informed
[Plant Name & Number],22/06/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Other,Animal with suspected broken leg. At PMI with severe arthritis,TS-Trading Standards informed
[Plant Name & Number],22/06/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Broken leg,11:47 [Number] with broken leg delivered to [Name]. TS informed and as agreed report for advise only sent.,TS-Trading Standards informed
[Plant Name & Number],22/06/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,4,Not Applicable,"Bovine animal ,female found to be in late gestation period during PM inspection.",TS-Trading Standards informed
[Plant Name & Number],22/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Overgrown hoof,Two cattle identified with very long hoofs,TS-Trading Standards informed
[Plant Name & Number],22/06/2015,On farm welfare,Red Meat: Pigs,Welfare on farm,4,Other,"1 pig RT9 delivered to SH with enormous size lump in mandible
/pre-scapula area. \Lump grown to such size that it was causing lameness of the pig. Additional FCI accompanied  the animal stating that it has an abscess, but is happy and fit for transport. Driver mentioned farmer informed him he has never noticed the condition (prior to loading). Haematoma revealed at time of PMI. No concern as regards to animals fitness for travel. APHA notified, Cc: LA. Video record showing lameness of an animal taken as an evidence.",APHA-Animal Health Office informed
[Plant Name & Number],23/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,animal with congenital deformation shoot and bleed on the fram,APHA-Animal Health Office informed
[Plant Name & Number],23/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,pregnant cattle processed on the abattoir,TS-Trading Standards informed
[Plant Name & Number],24/06/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Other,bull down on vehicle,TS-Trading Standards informed
[Plant Name & Number],24/06/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"[Name], presented 96%FPD",APHA-Animal Health Office informed
[Plant Name & Number],26/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Skin lesions,APHA-Animal Health Office informed
[Plant Name & Number],29/06/2015,Stunning / killing,Poultry: Poultry,Animal welfare officer’s checks and actions,3,Other,Live birds left in lairage after production finished,ENF Welfare Enforcement Notice
[Plant Name & Number],29/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,Broken humerus,TS-Trading Standards informed
[Plant Name & Number],01/07/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Other,5 pigs founds DOA,APHA-Animal Health Office informed
[Plant Name & Number],03/07/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,"High level of PMI
rejections/DO As","high leveld of cellulitis on [Name], [ID Number]",APHA-Animal Health Office informed
[Plant Name & Number],03/07/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Not Applicable,1 animal transported having a broken right hindleg,TS-Trading Standards informed
[Plant Name & Number],06/07/2015,Transportation,Poultry: Poultry,Maintenance of crates and modules,3,Crates poorly maintained,crates are damaged and one bird has been caught in between causing death and another bird has been caught in between crates as one of the floors is damaged,ENF verbal advice
[Plant Name & Number],08/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Not Applicable,Dirty animal and with advanced foot lesions identified at AM.,TS-Trading Standards informed
[Plant Name & Number],10/07/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,"High level of PMI
rejections/DO As","High levels of cellulitis on birds from [Name] and also FPD ( 87% score 2, 12% score 1, 5% score 0)",APHA-Animal Health Office informed
[Plant Name & Number],10/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Wounds,2 sheep with wound in the udder,APHA-Animal Health Office informed
[Plant Name & Number],10/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,pregnant cow processed on the abattoir,APHA-Animal Health Office informed
[Plant Name & Number],10/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Overgrown hoof,,APHA-Animal Health Office informed
[Plant Name & Number],13/07/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Injured animals,Broken horn.,TS-Trading Standards informed
[Plant Name & Number],14/07/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Not Applicable,Animal with a twisted gut transported to the abattoir,APHA-Animal Health Office informed
[Plant Name & Number],14/07/2015,Bleeding,Red Meat: Cattle,Stun to bleeding time,3,Other,"sticking done inappropriately.
Although the animal is unconscious the sticking operations could be done in a more dexterous way and allowing all the blood to come out with one cut.
too many cuts in the neck and the animal sometimes doesn't bleed properly",ENF verbal advice
[Plant Name & Number],14/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Calf late stage pregnancy,TS-Trading Standards informed
[Plant Name & Number],15/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,late pregnancy,TS-Trading Standards informed
[Plant Name & Number],17/07/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,,None Applicable
[Plant Name & Number],17/07/2015,Lairage operation,Poultry: Poultry,Efficient management of the process that ensures waiting times from arrival to slaughter are kept to the minimum,3,Long waiting times from arrival to slaughter,birds left over night not slaughtered first in the morning,ENF written advice
[Plant Name & Number],17/07/2015,Lairage operation,Poultry: Poultry,Written procedures available and implemented for protecting animal welfare,3,No written SOPs,SOP not up-dated,ENF written advice
[Plant Name & Number],21/07/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Broken leg,"Animal delivered to [ID Number] with broken leg, broken Tibia found at post mortem . [ID Number]",TS-Trading Standards informed
[Plant Name & Number],21/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,"massive rectal prolapse, no vet certificate",TS-Trading Standards informed
[Plant Name & Number],22/07/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Fractures,Head injuries in cow [ID Number],TS-Trading Standards informed
[Plant Name & Number],22/07/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Other,Lamb carcases with abscesses found on the neck area possible due to usage of unsterile needle,TS-Trading Standards informed
[Plant Name & Number],22/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Bruised,Animal with severe head injuries,TS-Trading Standards informed
[Plant Name & Number],24/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,2 cattle has been presented for slaughter at the last stage of pregnancy,APHA-Animal Health Office informed
[Plant Name & Number],24/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Poor animals/ suspect emaciation,One bovine from [Name] presenting well developed stiffness on hind legs,APHA-Animal Health Office informed
[Plant Name & Number],24/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Overgrown hoof,,APHA-Animal Health Office informed
[Plant Name & Number],27/07/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Other,"[ID number] pig heavily lame at time of unloading. No information on FCI stating condition of the animal at time of loading. PMI did not reveal broken bones, no broken bones found next morning  at time of boning. No action taken due to no evidence of negligence/cruelty.",None Applicable
[Plant Name & Number],29/07/2015,On farm welfare,Red Meat: Pigs,Welfare on farm,4,Other,Pig unable to bear full weight as was paralysed on hind legs,TS-Trading Standards informed
[Plant Name & Number],30/07/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,One bovine animal identified at post-mortem inspection with fully developed calf.,TS-Trading Standards informed
[Plant Name & Number],30/07/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,,APHA-Animal Health Office informed
[Plant Name & Number],31/07/2015,Lairage operation,Red Meat: Cattle,Procedures for protecting animal welfare,3,Other,Welfare SOP´s need further development as description of the corrective actions in lariage are not included.,None Applicable
[Plant Name & Number],31/07/2015,On farm welfare,Poultry: Poultry,Welfare on farm,3,"High level of PMI
rejections/DO As",9% dry cellulitis on [Name],APHA-Animal Health Office informed
[Plant Name & Number],31/07/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Overgrown hoof,One bovine presenting very long hooves,TS-Trading Standards informed
[Plant Name & Number],03/08/2015,Lairage operation,Red Meat: Sheep,Provision of bedding,3,Insufficient bedding,,ENF verbal advice
[Plant Name & Number],05/08/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Injured animals,Cow walking on 3 legs transported to the Abattoir,APHA-Animal Health Office informed
[Plant Name & Number],05/08/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,4,Other,Animal found to be in high gestation period.,TS-Trading Standards informed
[Plant Name & Number],05/08/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,One bovine [ID Number] with CALF AT PMI measuring 88cm,APHA-Animal Health Office informed
[Plant Name & Number],07/08/2015,On farm welfare,Red Meat: Pigs,Welfare on farm,3,Other,Emaciation and other conditions observed at PMI incl 1DOA with estimated time of death prior to the actual loading,APHA-Animal Health Office informed
[Plant Name & Number],10/08/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf,TS-Trading Standards informed
[Plant Name & Number],10/08/2015,Lairage operation,Red Meat: Sheep,Provision of bedding,3,Insufficient bedding,,ENF verbal advice
[Plant Name & Number],10/08/2015,On farm welfare,Red Meat: Pigs,Welfare on farm,4,Other,"Combination of conditions - poor health status/wound and tail bite APHA response :SVI inspected all livestock on 25/08/2015. Well run business and at good standards applied. Business is focused mainly on breeding and providing gilts to different farms. a small proportion goes for growing and finishing on farm (~300 finishing pigs from a total of over ~2600).The in question batch has been indeed one with issues including signs of tail bite vice. [Name] is aware of the existing problems and the management appied includes isolation of individuals which show signs of this behaviour, treat infections if applicable and local antiseptic (all medicine records reflected this). If in a week time pigs don.t show signs of improvement they are killed on farm. Regarding the pig which presented a laceration on the back - pig has been treated for that but the tail (due to it's length) mantained the wound open due to constant irritation. [Name] never faced before issues with tail biting and he's now considering tail docking as a measure to stop recurrence. At time of visit I found 3 pens with a total number of
~30 pigs which were under treatment/supervision due to the same vice. As mentioned before - this specific batch has raised problems. All pens havily straw bedded - enviromental enrichment is compliant, medical attention and good practices as well comlpiant reason why at this moment no further action taken by APHA.SVI inspected all livestock on 25/08/2015. Well run business and at good standards applied. Business is focused mainly on breeding and providing gilts to different farms. a small proportion goes for growing and finishing on farm (~300 finishing pigs from a total of over ~2600).The in question batch has been indeed one with issues including signs of tail bite vice. [Name] is aware of the existing problems and the management appied includes isolation of individuals which show signs of this behaviour, treat infections if applicable",APHA-Animal Health Office informed
[Plant Name & Number],11/08/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Weak animals,emaciated cow was barely waking,TS-Trading Standards informed
[Plant Name & Number],11/08/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Poor animals/ suspect emaciation,[ID Number] severely emaciated- rejected at AMI,TS-Trading Standards informed
[Plant Name & Number],12/08/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,4,Other,Animal found to be in high gestation period.,TS-Trading Standards informed
[Plant Name & Number],13/08/2015,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,3,Ineffective stun/signs of recovery after stunning,animal showed signs of returning to breathing -original stun in correct place -operator checked no blink reflex,ENF verbal advice
[Plant Name & Number],13/08/2015,Lairage operation,Red Meat: Cattle,Procedures for protecting animal welfare,4,Injured animals not dealt with promptly,During ante-mortem check noticed one lamb with a broken leg. The lamb was part of a batch that was delivered on site the evening before.,ENF Welfare Enforcement Notice
[Plant Name & Number],17/08/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Found at AMI a pregnant cow. At PMI a foetus with the 96 % of the pregnancy period completed.,TS-Trading Standards informed
[Plant Name & Number],19/08/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,"1 animal found at AMI with a foetus with the 98,5 % of gestation period completed.",TS-Trading Standards informed
[Plant Name & Number],19/08/2015,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Multiple stuns,wrong cartridges size used to stun a bull,None Applicable
[Plant Name & Number],19/08/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,4,Other,4 cases of high gestation reported during PM inspection.,TS-Trading Standards informed
[Plant Name & Number],19/08/2015,Stunning / killing,Red Meat: Cattle,Standard operating procedures,4,Inadequate sops for stunning/killin g,3 attempt to stun a bull: operator has not used appropriate cartridges size (despite still approved for bull),ENF verbal advice
[Plant Name & Number],20/08/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Injured animals,Cuts on some coronary bands,TS-Trading Standards informed
[Plant Name & Number],20/08/2015,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,3,Ineffective stun/signs of recovery after stunning,Water buffalo stunned 4 times:,ENF written advice
[Plant Name & Number],24/08/2015,Transportation,Poultry: Poultry,Maintenance of crates and modules,3,Crates poorly maintained,The crates are damaged and should be replaced,ENF verbal advice
[Plant Name & Number],25/08/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Fully developed calf,TS-Trading Standards informed
[Plant Name & Number],26/08/2015,Post-mortem findings,Red Meat: Pigs,Post-mortem findings,4,Fractures,"1 lame pig (score 3) found in lairage during handling activities. Proper action taken (OV informed and pig slaughtered ASAP). No enforcement action needed. Unavoidable accidental incident, not witnessed. PMI: fracture (left hind leg)",None Applicable
[Plant Name & Number],27/08/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Milk overflow.,APHA-Animal Health Office informed
[Plant Name & Number],28/08/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Bruised,Big bruised neck area identified at post-mortem inspection,TS-Trading Standards informed
[Plant Name & Number],31/08/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,3,Injured animals,One lame animal with swollen metatarsal joint at back left leg.,TS-Trading Standards informed
[Plant Name & Number],01/09/2015,Welfare on transport,Red Meat: Pigs,Condition of the animals at unloading,4,Other,"OV out of hours at time of unfloading AWO decided to kill 1 CW pig due to signs it was showing (dragging its back, then walking then dragging it back again). Proper FBO action taken. No enforcement action needed. No evidence gathered.",TS-Trading Standards informed
[Plant Name & Number],01/09/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Fully developed calf,TS-Trading Standards informed
[Plant Name & Number],01/09/2015,Lairage operation,Red Meat: Cattle,Management of lairage,3,Pens overcrowded,Noted 13 bovine animals accommodate in a pen of maximum 11 allowed.,ENF written advice
[Plant Name & Number],02/09/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Weak animals,"[ID Number] [Name]
This beast was emaciated and unable to bear weight on all four legs and keep its balance due to lameness on the right hind foot. The beast presented a structural deformity on hole haunch due to a long period of convalescence of chronic lesions described above.",TS-Trading Standards informed
[Plant Name & Number],02/09/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Ingrown horn/s,One bovine animal presenting an ingrown horn,TS-Trading Standards informed
[Plant Name & Number],02/09/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Poor animals/ suspect emaciation,"[ID Number] [Name]
This beast was emaciated and unable to bear weight on all four legs and keep its balance due to lameness on the right hind foot. The beast presented a structural deformity on hole haunch due to a long period of convalescence of chronic lesions described above.",APHA-Animal Health Office informed
[Plant Name & Number],03/09/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Weak animals,"[ID Number] from [Name & Address] was found with sign of dehydratation and emanciation.
This animal was  tranfered on 01/09/2015 to [Name & Address] [ID Number] and was [Name] who presented this animal to the abbatoir. Food Chain Information without any other information or communication about the condition of the animal.
[ID number] from [Name], was found with emaciation, lameness on the left fore leg also several abscesses on the left flank, on the hind quarter and septic pneumonia.
This animal was  tranfered on 02/09/2015 to [Name & Address] who presented this animal to the abbatoir.
Food Chain Information without any other information or communication about the condition of the animal.",TS-Trading Standards informed
[Plant Name & Number],03/09/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Poor animals/ suspect emaciation,"[ID Number] from [Name & Address] was found with sign of dehydratation and emanciation.
This animal was  tranfered on 01/09/2015 to [Name], [ID Number] and was [Name] who presented this animal to the abbatoir. Food Chain Information without any other information or communication about the condition of the animal.
[ID Number] from [Name], was found with emaciation, lameness on the left fore leg also several abscesses on the left flank, on the hind quarter and septic pneumonia.
This animal was  tranfered on 02/09/2015 to [Name & Address] who presented this animal to the abbatoir.
Food Chain Information without any other information or communication about the condition of the animal.",APHA-Animal Health Office informed
[Plant Name & Number],04/09/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Injured animals,During ante -mortem inspection observed one bovine animal presenting a fresh cut wound on the nose,TS-Trading Standards informed
[Plant Name & Number],04/09/2015,Lairage operation,Red Meat: Cattle,Trained welfare personnel,3,Personnel not trained in animal welfare,Three batches of sheep unloaded during the night shift while no lairage operative present to assess the welfare of animals,ENF verbal advice
[Plant Name & Number],04/09/2015,On farm welfare,Red Meat: Pigs,Welfare on farm,4,Other,1 pig out of 76 lot with systemic infection due to tail bite. Additional FCI states: tail bite healed up,APHA-Animal Health Office informed
[Plant Name & Number],07/09/2015,Handling and restraint,Red Meat: Cattle,Handling in race to stun pen,3,Other,Cattle broke its foot on the crush pen,ENF verbal advice
[Plant Name & Number],07/09/2015,Handling and restraint,Red Meat: Cattle,Handling within the lairage,3,Not Applicable,Cattle broke its leg in the crush pen,ENF verbal advice
[Plant Name & Number],09/09/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Other,O48M dairy female with drastic growth on the udder. Risk of compromising and exacerbating the condition during transport. No FCI provided by farmer.,TS-Trading Standards informed
[Plant Name & Number],09/09/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Animal in late stage of pregnancy transported on 08/09/15 and calved in the lairage at 20.16pm,TS-Trading Standards informed
[Plant Name & Number],10/09/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Poor animals/ suspect emaciation,Emaciated and weak animal,APHA-Animal Health Office informed
